0,0,0,0
0.05000763,4.00535E-05,-0.000200053,0
0.100006491,7.99862E-05,-0.000400087,0
0.150007665,0.000120037,-0.00060022,0
0.200000763,0.000160204,-0.000800334,0
0.250001937,0.000200252,-0.001000547,0
0.300003111,0.000240297,-0.001201099,0
0.350004286,0.000280341,-0.001401751,0
0.40000546,0.000320383,-0.001602383,0
0.450006634,0.000360543,-0.001803115,0
0.500007808,0.000400701,-0.002003828,0
0.550007045,0.000440739,-0.002203865,0
0.600006282,0.000480775,-0.002403941,0
0.650005519,0.000520571,-0.002604058,0
0.700004756,0.000560484,-0.002804214,0
0.750003994,0.000600277,-0.003004411,0
0.800003231,0.000640068,-0.003204707,0
0.850002468,0.000679858,-0.003404984,0
0.900001705,0.000720122,-0.003605301,0
0.950000942,0.000760266,-0.003805658,0
1,0.000800408,-0.004005396,0
