0,0,0
0.002,219.808,0.001913075
0.004,428.087,0.003411147
0.006,625,0.00449616
0.008,833.333,0.00549616
0.01,1041.67,0.00649617
0.012,1250,0.00749617
0.014,1458.33,0.00849618
0.016,1666.67,0.00949618
0.018,1875,0.01049619
0.02,2083.33,0.0114962
0.022,2291.67,0.0124962
0.024,2500,0.0134962
0.026,2708.33,0.0144962
0.028,2916.67,0.0154962
0.03,3125,0.0164962
0.032,3333.33,0.0174962
0.034,3502.54,0.0184933
0.036,3592.07,0.0193527
0.038,3638.77,0.0198011
0.04,3627.03,0.0196884
0.042,3560.76,0.0190522
0.044,3464.04,0.0181056
0.046,3463.94,0.0171057
0.048,3464.16,0.0161061
0.05,3464.04,0.0151067
0.052,3463.94,0.0141076
0.054,3464.16,0.0131087
0.056,3464.04,0.0121101
0.058,3463.94,0.0111117
0.06,3464.16,0.0101136
0.062,3464.04,0.0091157
0.064,3463.94,0.0081181
0.066,3464.16,0.0071208
0.068,3464.04,0.0061236
0.07,3463.94,0.0051268
0.072,3464.16,0.0041302
0.074,3464.04,0.0031338
0.076,3463.94,0.0021377
0.078,3464.16,0.0011418
0.08,3464.04,0.0001461
0.082,3463.94,-0.0008492
0.084,3464.16,-0.0018444
0.086,3464.04,-0.0028393
0.088,3463.94,-0.0038339
0.09,3464.16,-0.0048283
0.092,3464.04,-0.0058225
0.094,3463.94,-0.006816
0.096,3464.16,-0.00781
0.098,3464.04,-0.008803
0.1,3463.94,-0.009797
0.102,3464.16,-0.01079
0.104,3464.04,-0.011782
0.106,3463.94,-0.012775
0.108,3464.16,-0.013767
0.11,3464.04,-0.014759
0.112,3463.94,-0.015751
0.114,3464.16,-0.016742
0.116,3464.04,-0.017733
0.118,3463.94,-0.018724
0.12,3464.16,-0.019715
0.122,3464.04,-0.020706
0.124,3463.94,-0.021696
0.126,3464.16,-0.022686
0.128,3464.04,-0.023676
0.13,3463.94,-0.024665
0.132,3464.16,-0.025655
0.134,3464.05,-0.026644
0.136,3463.94,-0.027633
0.138,3464.16,-0.028621
0.14,3464.05,-0.02961
0.142,3463.94,-0.030598
0.144,3464.16,-0.031586
0.146,3464.05,-0.032573
0.148,3463.94,-0.033561
0.15,3464.17,-0.034548
0.152,3464.05,-0.035535
0.154,3463.94,-0.036522
0.156,3464.17,-0.037508
0.158,3464.05,-0.038494
0.16,3463.94,-0.03948
0.162,3464.17,-0.040466
0.164,3464.05,-0.041452
0.166,3463.94,-0.042437
0.168,3464.17,-0.043422
0.17,3464.05,-0.044407
0.172,3463.95,-0.045392
0.174,3464.17,-0.046376
0.176,3464.05,-0.04736
0.178,3463.95,-0.048344
0.18,3464.17,-0.049328
0.182,3464.05,-0.050311
0.184,3463.95,-0.051295
0.186,3464.17,-0.052278
0.188,3464.05,-0.05326
0.19,3463.95,-0.054243
0.192,3464.17,-0.055225
0.194,3464.05,-0.056207
0.196,3463.95,-0.057189
0.198,3464.17,-0.058171
0.2,3464.05,-0.059152
